option can be chosen	ఎంపిక కావచ్చు
karnataka over of covid patients in state are asymptomatic	కర్ణాటక రాష్ట్రంలోని కోవిడ్  రోగులలో  శాతానికిపైగా ఎలాంటి లక్షణాలూ కనిపించనివారేనని తేలింది
the gandhari people are a tribe mentioned in the rigveda the atharvaveda and later vedic texts	గాంధార ప్రజలు ఋగ్వేదం అధర్వవేదం తరువాత వేద గ్రంథాలలో పేర్కొన్న తెగగ ఉంది
add salt pepper and mix well	తర్వాత అందులో మిరపపొడి ఉప్పు వేసి బాగా కలుపుకోవాలి
thats the beauty	దట్స్ ది బ్యూటీ
dont you ever feel like giving up	మీకు ఏ దశలోనూ రిటైర్ అవ్వాలని అనిపించలేదా
hyderabad metro rail services came to a halt in the city	సాక్షి హైదరాబాద్ సిటీ బస్సుల రద్దుతో హైదరాబాద్ నగరంలో మెట్రో రైళ్లు కిటికిటలాడుతున్నాయి
i cannot see	నాకు కనిపించడంలేదండిఅంటూ ఆందోళన పడింది జయ
mercedesbenzs june sales indicate a steady growth	అలాగే గడచిన నెల విక్రయాలలో మెర్సిడెస్ బెంజ్ ప్రోత్సాహకర వృద్ధిని కనబరిచింది
i therefore adopted the phrase civil resistance	నేను చూసిన తొలి సినిమా వీరాంజనేయ యుద్ధం అని గుర్తు
but hurts	కానీ బాధ పెడతాయి
the music was given by ilaiyaraja	ఇళయరాజా సంగీతం అందించాడు
the strike has disrupted bangalore metropolitan transport corporation bmtc services in bengaluru and karnataka state road transport corporation ksrtc services in rest of karnataka	కర్ణాటక రోడ్డు రవాణా సంస్థకేఎస్ఆర్ టీసీ బీఎంటీసీ బెంగళూరు సిటీ బస్సులు సేవలు పూర్తిగా నిలిచిపోయాయి
or ysrcp	లేక వైసీపీ ఏజెంటువా
the writer is on the faculty of jawaharlal nehru university	రచయిత చరిత్రకారిణి జవహర్లాల్ నెహ్రూ యూనివర్సిటీలో ప్రొఫెసర్గా పనిచేశారు
the china growth	చైనా వృద్ధి దూకుడు
the asian games	ఆసియా గేమ్స్లో తొల
naidu is married to balakrishnas sister and their son lokesh is married to balakrishnas daughter brahmini	బాలకృష్ణ కూతురు బ్రాహ్మణిని లోకేష్ పెళ్లి చేసుకున్నారు
fighting till the end	చివరి వరకు పోరాడుతాం
china sales	చైనీస్లో మార్కెటింగ్
benefits up to rs	వరకు బెనిఫిట్ పొందొచ్చు
opportunities for women	మహిళలకు సౌలభ్యం
bible for boys	పిల్లలు కోసం బైబిల్ వెర్సెస్
we are	మనమే వున్నాం
records tumble	రికార్డులు బద్దలు
need a job	పని అవసరమైన కోరిక ఉంది
he asked	సూటిగా అడిగేశాడు
flickering lights reflected on gold and colored glass tesserae created an aura of mysticism	తరచూ బైబిలు కథలు చిత్రీకరించబడే అలాంటి మొజాయిక్లు ఆరాధకులకు ఉపదేశించడానికి పనికొచ్చేవి
the government further asked state governments to promote decentralised marketing and procurement of farm commodities at village level	గ్రామీణ స్థాయిలో వికేంద్రీకరణ మార్కెటింగ్ వ్యవసాయోత్పత్తుల సేకరణను ప్రోత్సహించాలని కేంద్ర ప్రభుత్వం రాష్ట్ర ప్రభుత్వాలను కోరింది
and rs	చెలామణిలో లేని పాత రూ
the proposal is intended to double the income of the farmers	రైతుల ఆదాయాన్ని రెట్టింపు చేయటం లక్షంగా ప్రకటించారు
the bjp aims to win a majority of the seats in the region during the forthcoming general elections	ఎన్నికల్లో ఈ జిల్లా నుండి ఎక్కువ సంఖ్యలో అసెంబ్లీ స్థానాలను కైవసం చేసుకోవాలని టిడిపి ప్లాన్ చేస్తోంది
ill give you	నేను అందిస్తాను
well settled family	బాగా స్థితిమంతులైన కుటుంబం
i know i havent done anything wrong	నేనే తప్పు చేయలేదన్న సంగతి నాకు తెలుసు
the madhya pradesh assembly has members currently	మధ్యప్రదేశ్ అసెంబ్లీలో  సీట్లు ఉన్నాయి
over rs	మించి డబ్బులు ఉండకూడదు
the reason is still unknown	కారణం ఇప్పటికి కూడా ఎవరికి తెలియదు
risk factors for stroke	స్ట్రోక్ ప్రమాద కారకాలు
is up	పెంచటం గమనార్హం
thereafter a colourful cultural programme was presented by the students	అనంతరం విద్యార్థినులు ప్రదర్శించిన సాంస్కృతిక కార్యక్రమాలు అందరినీ అలరించాయి
its a tradition	అది ఒక సంప్రదాయం
craving is natural	కలి అనుకోవడం సహజమే
it secretary jayesh ranjan	ఐటిశాఖ కార్యదర్శి జయేష్ రంజన్
he has insulted the sentiments of hindus	హిందువుల మనోభావాలను దెబ్బతీసేలా వ్యాఖ్యానించారంటూ మండిపడ్డారు
testing and screening	టేస్టింగ్ మరియు పరీక్ష
eliminates constipation and gas problems	కడుపుబ్బరాన్ని గ్యాస్ సమస్యలను నివారిస్తుంది
for farmers rs	అరటి తోటలు నష్టపోయిన రైతులకు ఎకరా ఒక్కింటికి రూ
it can be divided into three sectors	వారు మూడు విభాగాలుగా వేరు చేయవచ్చు
in the last hours yanam and anakapally recorded cm rainfall	గడిచిన  గంటల్లో భీమిలిలో  సెంమీ సాలూరు వెంకటగిరి కోటలో  సెంమీ వర్షపాతం నమోదైంది
health and motor third party insurance policyholders allowed to make premium payments till may th which are due for renewal during lockdown	ఆరోగ్య వాహన తృతీయపక్ష బీమా నవీకరణ గడువు దిగ్బంధ కాలంలో ముగిసేట్లయితే పాలసీదారులకు మే దాకా రుసుము చెల్లించే వెసులుబాటు
she was taken to rajawadi hospital	ఆమెను రాజాముత్తయ్య మెడికల్ కాలేజీ ఆస్పత్రికి తరలించారు
earn rs	రూ కోటి గెలుచుకోండి
or would a true worshipper lift up a glass of wine and ask for a divine influence on someone or a blessed future for him	యిర్మీయా    ఒకరి భవిష్యత్తును దేవుడు ఆశీర్వదించాలని లేదా ఆయనకు సంతోషకరమైన భవిష్యత్తు ఉండాలని సత్యారాధకుడు తన ద్రాక్షారసపు గ్లాసులు పైకెత్తి కోరగలడా
pakistan election rally	పాక్ ఎన్నికల్లో రిగ్గింగ్
cases are increasing day by day	రోజురోజుకు కేసుల సంఖ్య భారీగా పెరుగుతోంది
some are ready other underconstruction	కొన్నిటి నిర్మాణం పూర్తి కాగా కొన్నిటి నిర్మాణం చివరి దశలో ఉన్నాయి
nifty psu bank index gained over per cent	నిఫ్టీ పిఎస్యు బ్యాంకు ఇండెక్స్ శాతంపైగా లాభపడింది
she is concealing the facts	పైగా వాస్తవాలను దాచిపెడుతున్నారు
however the centre did not yield	ఆయినప్పటికీ కేంద్రం దిగి రాలేదు
then try it here at dzongu	జొంగులో ప్రయత్నించండి
the hospitals condition is very bad	ఆసుపత్రులు దయనీయ స్థితిలో ఉన్నారన్నారు
need more	అంతకంటే ఇంకేంకావలి
after the incident the students organisation staged a sitin protest in front the school demanding action against the teacher	ఈ ఘటన తర్వాత విద్యార్థి సంఘాలు కాలేజీ ముందు ధర్నాకు దిగింది
he is being investigated by both the cbi and the ed in the matter	ఈ రెండు కేసుల్లో అటు సీబీఐ ఇటు ఎన్ ఫోర్స్ మెంట్ డైరెక్టరేట్ ఈడీ అధికారులు ఆయనను విచారిస్తున్నారు
the number of deaths has increased	ఇటు మృతుల సంఖ్య కూడా పెరిగింది
so far rs	ఇప్పటి వరకు ఈ చిత్రానికి రూ
_remove bookmark	ఇష్టాంశాన్ని తీసివేయి
it is the one who is bringing forth the army of them even by number all of whom he calls even by name	వీటి లెక్కచొప్పున వీటి సమూహములను బయలుదేరజేసి వీటన్నిటికిని పేరులు పెట్టి పిలుచువాడే గదా
rahul attacks pm on rising petrol diesel prices	పెట్రోల్ డీజిల్ ధరల పెంపు కోసమే అన్లాక్  రాహుల్
shreyas iyer won the toss and delhi opted to bat first	టాస్ గెలిచిన డిల్లీ సారథి శ్రేయస్ అయ్యర్ తొలుత బ్యాటింగ్ ఎంచుకున్నాడు
she has worked in more than films	అంతేకాకుండా కి పైగా చిత్రాలలో హీరోగా నటించాడు
decrease	వరకు తగ్గింపును అందించారు
the body was shifted to gandhi hospital for postmortem	మౌనిక మృతదేహాన్ని గాంధీ ఆస్పత్రికి తరలించారు
in the general case of a particle moving in the plane the orbital angular velocity is the rate at which the position vector relative to a chosen origin sweeps out angle	సాధారణ సందర్భంలో ఒక తలంలో కదులుతున్న కణానికి ఎంచుకున్న మూలానికి సంబంధించి స్థాన సదిశ స్వీప్ అవుట్ కోణ రేటును కక్ష్యా కోణీయ వేగం అంటారు
pm narendra modi extended greetings on the occasion of indian air force day	ఈ సందర్భంగా ప్రధాని మోడీ వైమానిక దళానికి శుభాకాంక్షలు తెలిపారు
the result of tests is awaited	ఇందులో ఇంకా  మంది శాంపిల్స్ కు సంబంధించిన ఫలితాలు రావాల్సి ఉంది
cabinet decision	కేబినెట్ నిర్ణయం
zorawar nandwal class v delhi public school bathinda	సందీప్ పదో తరగతి జవహర్ నవోదయ విద్యాలయ వరంగల్
he went on to deliver wry commentary on international programming in such shows as clive james on television	క్లైవ్ జేమ్స్ ఆన్ టెలివిజన్ వంటి ప్రదర్శనలలో ఇంటర్నేషనల్ ప్రోగ్రామింగ్పై వ్యంగ్యంగా వ్యాఖ్యానం చేస్తూ ఆయన గుర్తింపు తెచ్చుకున్నారు
otherwise he feels shaken	కాకపోతే బోర్ ఫీలవుతున్నాడు
for every rs	డిపాజిట్ చేసిన ప్రతి రూ
the ink has dried	చిక్కుడు వాగు ఎండిపోయింది
music is by anirudh ravichander	అనిరుధ్ రవిచందర్ మ్యూజిక్
are you planning to take a home loan	గృహ రుణం తీసుకోవాలని ప్రయత్నిస్తున్నారా
caste and communities	గృహాలు మరియు కమ్యూనిటీలు
heavy rains	ఈదురుగాలులతో భారీ వర్షం
kind of films in future	భవిష్యత్తులో ఎలాంటి సినిమాలు చేయాలని ఉంది
sita is directed by teja	సీత సినిమాకు తేజ దర్శకత్వం వహిస్తున్నారు
hes a very normal guy	అతను చాలా సాధారణ వ్యక్తి
she was the bjps candidate	ఆమె బీజేపీ అభ్యర్థి చేతిలోనే ఓడిపోయింది
it was never free	ఎప్పుడు స్వేచ్ఛ లేదన్నారు
the ongoing strike by the medical practitioners entered its fifth day in west bengal	పశ్చిమబెంగాల్లో జూనియర్ వైద్యుల సమ్మె నాలుగో రోజుకు చేరింది
the marine aquarium and research centre marc is a great place for kids to enjoy an afternoon	మార్క్ మధ్యాహ్న సమయాలను గడపడానికి పిల్లలకు ఎంతో మంచి ప్రదేశం
cpr or cardiopulmonary resuscitation is an emergency procedure usually performed when a person gets a sudden cardiac arrest and his heart stops beating	హృదయశ్వాసకోశ పునరుజ్జీవన చర్య    కార్డియోపల్మోనరీ రిససిటేషన్    సీపీఆర్ అనగా వ్యక్తి యొక్క గుండె కొట్టుకోవడం స్తంభించినప్పుడు లేదా ఊపిరితిత్తులు శ్వాస తీసుకోని స్థితిలో ఉన్ననప్పుడు వెంటనే ఆ చర్యల పునరుద్ధరణకు చేయు అత్యవసర ప్రక్రియ
it constituted per cent of the total cash in circulation	ఇది మొత్తం నగదు చెలామణిలో  శాతం
madhubala was one of the finest actors in bollywood	బాలీవుడ్ చరిత్రలోని గొప్ప నటీమణుల్లో మధుబాల ఒకరు
delhi is already facing the longest cold wave in the month of december in years	డిసెంబర్ నెలలోనే ఈ స్థాయిలో ఉష్ణోగ్రతలు పడిపోవడం గత  సంవత్సరాల్లో ఢిల్లీ ఇప్పుడే చూస్తోంది
the same thing happened in america	ఇలాంటి ఘటన అమెరికాలో చోటుచేసుకుంది
then everything went black	అప్పుడు అంతా చీకటి
jp nadda elected as new bjp chief	బీజేపీ కొత్త జాతీయాధ్యక్షుడిగా జేపీ నడ్డా  ఎన్నిక ఏకగ్రీవం
the apple iphone gb is priced rs	యాపిల్ ఐఫోన్ ఎస్ జీబి ధర రూ
im working on three telugu films	తెలుగులో మూడు సినిమాలు చేస్తున్నాను
protesting is a right of the citizen	నిరసనలు చేయడం పౌరుల హక్కు అని వ్యాఖ్యానించారు
he has demanded a judicial inquiry into the incident	ఈ వ్యవహారంపై సిట్డింగ్ జడ్జితో న్యాయ విచారణ జరిపించాలని ఆయన డిమాండ్ చేశారు
the government spends rs	ప్రభుత్వం మాత్రం ఎకరాకు రూ
he joined the socialist movement and was elected secretary of the district praja socialist party psp ballia	అతను సోషలిస్టు ఉద్యమంలో ప్రజా సోషలిస్టు పార్టీ  కి సెక్రటరీ గా నియమితుడయ్యాడు
please correct it	దయచేసి సవరించగలరు
us mexico and canada to host world cup fifa	ఫిఫా వరల్డ్కప్ ఆతిథ్య హక్కులను దక్కించుకున్న అమెరికా కెనడా మెక్సికో
but he did decide	అయినా అతను నిర్ణయం తీసుకున్నాడు
for every rs	ఒక్కో ఆటకు రూ
regular exercise	క్రమం తప్పకుండా వ్యాయామం
beautician padma is undergoing treatment at vijayawada government hospital	తీవ్రగాయాలైన పద్మ విజయవాడ అసుపత్రిలో చికిత్స పోందుతోంది
his father died young his mother was a nag	వన్య తండ్రి యువ మరణించాడు అతని తల్లి పెరిగాడు
do you wish to face the camera again	నవరసాలు పలికిస్తూ కెమెరాను ఫేస్ చేయాలనుకుంటున్నారా
the government emarketplace provides an equitable opportunity to startups to offer their services and products to all govt enterprises across the country he added	ప్రభుత్వ ఇమార్కెట్ ప్లేస్ స్టార్టప్లకు తమ సేవలను మరియు ఉత్పత్తులను దేశవ్యాప్తంగా ఉన్న అన్ని ప్రభుత్వ సంస్థలకు అందించడానికి సమానమైన అవకాశాన్ని కల్పిస్తుంది  అని తెలిపారు
forms a new party	తనో కొత్త పార్టీ పెడతాడు
crore rs	వేల కోట్ల ఆదాయం రూ
she agrees to his offer	తన ప్రతిపాదనను శ్రుతి అంగీకరిస్తుంది
crore	కోట్లు ఖర్చుపెట్టింది
the wicket is good	దుబారు వికెట్ బాగుంది
its sad	ంటూ బాధగా అంటుంది
but never did he utter a word about policy	అయితే ఆయన ఎప్పుడూ రాజకీయాల గురించి ఓపెన్గా ప్రస్తావించలేదు
everything stopped	అన్ని నిలదీశారు
pandya commented hahaha love you on the picture	ఇక ఆ ఫోటోకు హాహా ఐ లవ్ యూ అని హర్దిక్ పాండ్యా కామెంట్ పెట్టాడు
but her friends are worried	కానీ ఆమె విసుగును స్నేహితులు
here is an exciting news for mega fans	మెగా అభిమానులకు జోష్ కలిగించే మరో వార్త
the movie is directed by ks ravi kumar and produced by c kalyan	ఈ సినిమాకి కే యస్ రవికుమార్ దర్శకత్వం వహించగా సీ కళ్యాణ్ సినిమాని నిర్మించారు
gujarat is on first place	మొదటి స్థానంలో గుజరాత్ నిలిచింది
the objective of both the factions is same	రెండు గుంపుల గమ్యం ఒక్కటే
powerful women	శక్తివంతమైన మహిళలు
candidates can download their admit card by providing their registration id roll number name and date of birth	అభ్యర్థులు తమ రూల్ నెంబర్ లేదా రిజిస్ట్రేషన్ నెంబర్ పాస్వర్డ్ లేదా పుట్టిన తేదీ వివరాలను సమర్పించి హాల్టికెట్లను డౌన్లోడ్ చేసుకోవచ్చు
generally a copy is saved for later reference	సాధారణంగా ఒక లీటరు నుండి లీటరున్నర వరకు నీటిని తీసుకోవాలని సూచిస్తారు
the new development bank the currency reserve arrangement strategy for brics economic cooperation these are clear evidence of our vision and our resolve	బ్రిక్స్ దేశాలు ఏర్పాటు చేసుకున్న కొత్త అభివృద్ధి బ్యాంకు కరెన్సీ రిజర్వ్ బ్రిక్స్ ఆర్థిక సహకార వ్యూహం మనందరి ఉమ్మడి కట్టుబాటుకు ఉమ్మడి దిశకు నిదర్శనం
even people	సామాన్యులకు కూడా
because it is the essence of democracy	ఎందుకంటే ఇది ప్రజాస్వామ్యానికి సంబంధించింది
crore	కోట్లు గిరిజనులకు పోషకాహారాన్ని సమకూర్చేందుకు ఫుడ్ బాస్కెట్లకు రూ
come come	చాలింక రా
rajs face glowed	రాజారావు ముఖం విప్పారింది
but it was devastating	కానీ అది దారుణంగా బెడిసికొట్టింది
manimuthusamy vetrivel	మణిమూర్తి వడ్లమాను
thats for the movies	ఇది సినిమాలకి సంబందించినది మాత్రమే
it can all be done	వన్నీ చేయొచ్చు
one person was killed and five others sustained serious burn injuries in the incident	ఈ ఘటనలో ఒకరు మృతిచెందగా ఐదుగురికి తీవ్ర
kangana ranaut and rajkummar rao play their characters to near perfection	కంగనా రనౌత్ రాజ్ కుమార్ రావు తమ పెర్ఫార్మెన్స్తో అదరగొట్టారు
towards polavaram project rs	పాలమూరురంగారెడ్డి ప్రాజెక్ట్ పూర్తయితే ఏడాదికి రూ
the muchawaited third season of reality show bigg boss telugu has begun and has already completed a successful week on the air	తెలుగులో వచ్చిన బిగ్గెస్ట్ రియాలిటీ షో గా గుర్తింపు తెచ్చుకున్న బిగ్ బాస్ రెండో సీజన్ కు సన్నాహాలు ఊపందుకున్నాయి
dabangg actor salman khan is a popular bollywood actor	కండల వీరుడిగా గుర్తింపు పొందిన బాలివుడ్ నటుడు సల్మాన్ ఖాన్ భవితవ్యం నేడు తేలనున్నది
our family united at last	జీవిత కథ
the number of coronavirus cases in the country are rising day by day	దేశంలో నమోదవుతున్న కరోనావైరస్ కేసుల సంఖ్య రోజురోజుకి పెరుగుతోంది
best known films	అత్యంత ప్రసిద్ధ సినిమా పాత్రలు
actor pawan kalyan who was the star campaigner for the bjptdp alliance has lashed out at the trs president k chandrashekar rao	తెలుగు రాష్ట్రాల్లో ఎన్నికలు జరిగే సమయంలో సినీ నటుడు జనసేన పార్టీ అధ్యక్షుడు పవన్ కళ్యాణ్ టీఆర్ఎస్ పార్టీకి కెసిఆర్ కి వ్యతిరేకంగా బీజేపీటీడీపీ కూటమికి మద్దతుగా ప్రచారం చేసిన సంగతి తెలిసిందే
apple iphone enters more countries	మరో దేశాల్లో యాపిల్ ఐఫోన్  ప్లస్
using her height to full advantage sindhu displayed a sterling performance to script a win against former world no and london olympics silver medallist wang yihan to enter the semis	ఈ ఒలింపిక్స్ లో తొమ్మిదో సీడింగ్ గా బరిలోకి దిగిన సైనా   తేడాతో వాంగ్ను మట్టికరిపించింది
experts are	ిపుణుల్లో ఉంది
birth and early life	పుట్టిన మరియు ప్రారంభ జీవితం
radhakrishna vikhe patil leader of opposition in the maharashtra legislative assembly	మహారాష్ట్ర అసెంబ్లీలో ప్రతిపక్ష నేత రాధాకృష్ణ విఖేపాటిల్ చర్చను ప్రారంభించారు
rahul unsparing in his criticism of modi	మోడీ గుండెల్లో పేదలుకు చోటు లేదని రాహుల్ విమర్శ
after billionaire jeweller nirav modi fled the country to escape facing the law for his alleged involvement in the rs crore punjab national bank pnb fraud the whole nation seems to be asking where is nirav modi or nimo	న్యూఢిల్లీ పంజాబ్ నేషనల్ బ్యాంకులో వేల కోట్ల కుంభకోణానికి పాల్పడి విదేశాలకు పారిపోయిన నగల వ్యాపారి నీరవ్ మోడీ ఇప్పుడు కేసు నుంచి తప్పించుకోవడంపై దృష్టి సారించినట్లు తెలుస్తోంది
anil ambanis rcom owes money to china development bank exim bank of china industrial and commercial bank of china	ఆర్కామ్కు రిలయన్స్ టెలికాంకు చైనా డెవలప్మెంట్ బ్యాంక్ ఎక్స్పోర్ట్ ఇంపోర్ట్ బ్యాంక్ ఆఫ్ చైనా ఇండస్ట్రియల్ అండ్ కామర్స్ బ్యాంక్ ఆఫ్ చైనాలు కూడా అప్పులు ఇచ్చాయి
congress mla nitesh rane and his supporters throw mud on engineer prakash shedekar	ఎమ్మెల్యే నితేశ్ రాణా ఆయన మద్దతుదారులు ఇంజినీర్ ప్రకాశ్ షెడేకర్పై బకెట్ల ద్వారా బురదను పోశారు
jayalalithaas condition continues to improve says hospital	అనారోగ్యంతో ఉన్న జయలలిత కోలుకుంటున్నారని ఆయన తెలిపారు
jesus truly is as paul wrote king of those humans who rule as kings and lord of those humans who rule as lords	పౌలు వ్రాసినట్లుగా యేసు నిజంగానే మానవ రాజులకు రాజును మానవ ప్రభువులకు ప్రభువునై యున్నాడు
ford mustang	సంవత్సరానికి చెందిన ఫోర్డ్ మస్టాంగ్ కారు
select the atm card and click on proceed button	ఏటీఎమ్ కార్డును ఎంచుకుని ప్రొసీడ్ బటన్ను క్లిక్ చేయాలి
three maoists killed in jharkhand gunfight	జార్ఖండ్లో ముగ్గురు మావోయిస్టుల మృతి
but in a dental surgeon named william morton opened the way to the widespread use of anesthetics in surgery	కానీ లో విలియమ్ మోర్టన్ అనే దంతవైద్యుడు శస్త్రచికిత్సలో మత్తిచ్చే ప్రక్రియను విస్తృతం చేసేందుకు మార్గాన్ని తెరిచాడు
the problem is largely in the north and central karnataka districts	ఉత్తర మధ్య కర్ణాటకలోనే సమస్య అధికంగా ఉంది
do you invest in mutual funds	మొత్తం మ్యూచువల్ ఫండ్లలో పెట్టమంటారా
do you need physical training	నీకీ శిక్షణ అవసరమా
he wasnt even married	అయినా అతనికి పెండ్లి కాలేదు
david warner allu arjun butta bomma	అల్లు అర్జున్ పోజ్ లో సిత్తరాల సిరపడు అంటున్న డేవిడ్ వార్నర్
tested efficiency for the manual version is km per litre and for the automatic it is kilometre per litre	మ్యానువల్ ట్రాన్స్ మిషన్ తో పనిచేసే వేరియంట్లయితే లీటరుకు  కిలోమీటర్లు ఆటోమేటిక్ ట్రాన్స్ మిషన్ వాహనాలైతే  కిలోమీటర్ల వరకు మైలేజినిస్తుంది
pooja hegde acted as the lead actress and sushant tabu jayaram navdeep murali krishna and rajendra prasad played key roles in the celluloid	పూజ హెగ్డే హీరోయిన్ గా నటించడం టబు జయరాం సుశాంత్ నవదీప్ సునీల్ సముద్ర ఖని రాజేంద్ర ప్రసాద్ మొదలు స్టార్ నటీనటులు ఈ సినిమాలో నటించడం
psychiatric symptoms	మానసిక అనారోగ్యం చిహ్నాలు
she was an actress in telugu serials	తనని నటిగా తెలుగు సినిమాల్లో నిలబెట్టింది
its not about age	అది వయస్సు గురించి కాదు పరిగణించలేము
he was born at kanyakumari district of tamil nadu	తమిళనాడు కన్యకుమారి జిల్లా నాగర్ కోయిల్లో పుట్టారు
the list includes hindi bengali gujarati kannada telugu tamil and malayalam	బెంగాలీ గుజరాతీ మరాఠీ కన్నడ పంజాబీ మలయాళం తమిళ్ తెలుగు ఆ జాబితాలో ఉన్నాయి
australia scored in the first innings	ఆస్ట్రేలియా తొలి ఇన్నింగ్స్  పరుగులు చేసిన విషయం తెలిసిందే
several animals perished	ఎన్నో జంతువులు చెల్లాచెదురయ్యాయి
keerthy suresh went on to win best actress award for her role in mahanati	ఇక మహానటి సినిమాలో నటనకు గాను కీర్తి సురేష్ ఉత్తమ నటి అవార్డును సొంతం చేసుకున్నారు
why how	ఎందుకు ఏమిటి ఎలా
it is not a rule	రూల్స్ పెట్టేది కాదు
here publication and electronic media is welldeveloped	ఇక్కడ ప్రచురణ మరియు ఎలక్ట్రానిక్ మీడియా బాగా అభివృద్ధి చెందింది
the budget earmarked rs	బడ్జెట్లో కేంద్ర నిధులు రూ
turn around and repeat	దిండు మీద తిరుగుతూ మరియు పునరావృతం చేయండి
mental health is as important as physical health	శారీరక ఆరో గ్యంతో సమానంగా మానసిక ఆరోగ్యం ప్రాధాన్యత సంతరించుకుంది
lakh under section c of the income tax act	లక్షల మొత్తంపై సెక్షన్ సీ కింద పన్ను మినహాయింపు లభిస్తుంది
he would never say such a thing	ఈ విషయం తనకు ఎన్నడూ చెప్పలేదే అని వాపోయింది
each entrance is ft wide and out of the entrances one is reserved only for females	ప్రతి ప్రవేశ ద్వారం  అడుగుల వెడల్పు కలిగి ఉండగా వీటిలో ఒక ప్రవేశ ద్వారం మాత్రం కేవలం స్త్రీల కోసం మాత్రమే
did salman khan give you any advice	సల్మాన్కు ఏమైనా సలహా ఇస్తారా
the apostle peter shed additional light on the connection between reproach and happiness	నిందకు సంతోషానికీ మధ్య ఉన్న సంబంధంపై అపొస్తలుడైన పేతురు మరింత వెలుగును ప్రసరింపజేశాడు
but it could be done	ానీ దాన్ని సాధ్యం చేసి
however the situation is under control	అయితే పరిస్థితి మాత్రం అదుపులోనే ఉందన్నారు
dont talk about other people	ఇతర వ్యక్తుల గురించి ప్రస్తావించకండి
some people dont	కొంతమంది చెప్పరు
the member of board of revenue	బోర్డ్ ఆఫ్ రెవెన్యూ సభ్యుడు
four are critically injured	తీవ్ర గాయాలయిన నలుగురిని
virat kohli and dale steyn	డేల్ స్టెయిన్ విరాట్ కోహ్లీ
polls could be delayed	ఎన్నికల ఫలితాలు వెల్లడి ఆలస్యమయ్యే అవకాశం
the easiest and cheapest way to get to the temple is by bus but auto rickshaws can be hailed to the temple once you are in the city	అయితే మీరు నగరంలోకి వచ్చినప్పుడు ఆటో రిక్షాలు ద్వారా ఆలయానికి చేరుకోవచ్చు
challenge for congress	కాంగ్రెస్ పార్టీకి సవాల్
trs leaders celebrate ktrs birthday	జన్మదిన శుభాకాంక్షలు తెలిపిన టీఆర్ఎస్ వర్కింగ్ ప్రెసిడెంట్ కేటీఆర్
everyones happy	ప్రతి ఒక్కరూ ఆనందంగా ఉన్నారు
their third game against sri lanka was washed out due to rain	తదుపరి శ్రీలంకతో ఆడాల్సిన మూడో మ్యాచ్ వర్షం కారణంగా రద్దయ్యింది
the stories are important	సినిమాకి కథ ముఖ్యం
no one sold them in shops	ఈ వేళ దుకాణాల వాళ్లెవ్వరూ నెయ్యి అమ్మలేదు
a sound is heard by the ears	గొంతులోంచి కూతలాంటి చప్పుడు వస్తోంది
i didnt realise when it began and when it ended	ఎప్పుడు స్టార్ట్ చేశామో ఎప్పుడు ఫినిష్ అయిందో తెలీలేదు
all files	అన్ని ఫైళ్ళు
the government is drafting a policy for the purpose	దీని కోసం ప్రభుత్వం ఒక ప్రణాళిక రూపొందిస్తోంది
he started running	పరుగు ప్రారంభించాడు
during the current tamil month of purataasi a large number of devotees visit the temple	తమిళులు ఎంతో పవిత్రంగా భావించే పెరటాసి మాసంలో పెద్ద సంఖ్యలో భక్తులు విచ్చేసి స్వామివారిని దర్శించుకుంటున్నారు
where is god	దేవతలు ఎక్కడున్నారు
one passenger was killed unintentionally	ఈ దోపిడీలో ప్రమాదవశాత్తూ ఒక ప్రయాణికుడు చనిపోయాడు
kannada actor puneeth rajkumar	ఈ చిత్రాన్ని కన్నడలో నటుడు పునీత్ రాజ్కుమార్ నిర్మించారు
since then	ఆ తరువాత నుండి
million	లక్షలు పలుకుతోంది
mr palkar	మిస్టర్ పాల్కర్
aditi rao hydari nivetha thomas and sudheer babu plays the leads in the movie	ఈ చిత్రంలో నానితో పాటూ నివేదా థామస్ అతిథి రావు హైదరి సుధీర్ బాబు వంటివారు ప్రధాన తారాగణంగా నటిస్తున్నారు
its advantage customers	దీంతో కస్టమర్లకు ఊరట
screen resolution is pixels x pixels	రిసల్యూషన్   పిక్సల్స్
it all started in my home region of northern kyrgyzstan	అదంతా మా స్వస్థలమైన ఉత్తర కిర్గిజ్స్థాన్లో జరిగింది
the complaint was then filed against the owner	అనంతరం సంపు ఉన్న ఇంటి యజమానిపై కేసు నమోదు చేశారు
the legacy has to be carried forward	ఆ వారసత్వాన్ని ముందుకు తీసుకెళ్లాలి
he expressed his heartfelt condolences to jaitleys family members	జైట్లీ కుటుంబసభ్యులకు ఆయన తన ప్రగాఢ సానుభూతి తెలియజేశారు
lakh in the auctions	లక్షల దాకా పందేలు కాస్తారు
dil raju mahesh babu and ramabrahmam sunkara together produced the movie	దిల్రాజు మహేశ్బాబు రామబ్రహ్మం సుంకర సంయుక్తంగా ఈ సినిమాని నిర్మిస్తున్నారు
the question is how	ప్రశ్న ఇతర ఉంది  ఎలా
the list continues to increase	ఇక ఈ వ్యూస్ లిస్ట్ ఇంకాస్త పెరిగిపోతూనే ఉందట
reluctant officials	ఇష్టారాజ్యంగా వ్యవహరిస్తున్న అధికారులు
medium and small scale enterprises	ఎంఎన్సీల బాటలో స్మాల్ మీడియం స్కేల్ కంపెనీలు
